epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_level_mae,learning_rate,epoch_seconds
1,1.1347177301134381,0.32261904761904764,1.1130965974595812,0.35555555555555557,0.35555555555555557,0.2951976803816773,0.9388888888888889,6.800000000000001e-06,91.03745599999093
2,1.0637672560555593,0.42738095238095236,1.048972405327691,0.4888888888888889,0.4888888888888889,0.475446251361539,0.65,1.2600000000000001e-05,25.33326769999985
3,0.9667869477044968,0.5369047619047619,0.9434893303447299,0.5777777777777777,0.5777777777777778,0.586822539543815,0.4444444444444444,1.84e-05,21.45284620000166
4,0.859792142822629,0.6166666666666667,0.8615956041547987,0.6388888888888888,0.638888888888889,0.5688582252885822,0.40555555555555556,2.4200000000000002e-05,14.778162599992356
5,0.7558326420329866,0.7023809523809523,0.9118647376696268,0.6333333333333333,0.6333333333333333,0.5184796140678493,0.39444444444444443,3e-05,14.633726699990802
6,0.7255162954330444,0.7047619047619048,0.8562254428863525,0.6722222222222223,0.6722222222222222,0.5985241811328769,0.3611111111111111,2.996467872876745e-05,14.72095960000297
7,0.66519866670881,0.7833333333333333,0.8122751977708604,0.65,0.65,0.5972392151317072,0.36666666666666664,2.985888699675277e-05,14.66012800000317
8,0.6105691194534302,0.7988095238095239,0.807079095310635,0.7055555555555556,0.7055555555555556,0.6855037489448333,0.3111111111111111,2.9683140210640184e-05,14.851898500011885
9,0.564585835025424,0.8392857142857143,0.8428968323601617,0.6611111111111111,0.6611111111111111,0.6415428797781738,0.35,2.9438294591105624e-05,14.832087400005548
10,0.5480151846295311,0.8523809523809524,0.8629319429397583,0.6944444444444444,0.6944444444444443,0.6728700927702209,0.3333333333333333,2.912554300139567e-05,15.72324259999732
11,0.4902115759395418,0.9011904761904762,0.8227154970169067,0.7166666666666667,0.7166666666666667,0.7146502383694034,0.29444444444444445,2.874640913581771e-05,16.10925490000227
12,0.4657684661093212,0.9035714285714286,0.9245339181688097,0.6888888888888889,0.688888888888889,0.6805639257176018,0.3277777777777778,2.8302740096454442e-05,15.793050699998275
13,0.4930290454909915,0.888095238095238,0.8604127486546834,0.7,0.7000000000000001,0.6925812303364403,0.31666666666666665,2.7796697394268175e-05,15.84631179999269
14,0.42417856114251273,0.9392857142857143,0.9798753870858087,0.6666666666666666,0.6666666666666666,0.6618407881565777,0.34444444444444444,2.7230746418436738e-05,15.870821699994849
15,0.4206303329694839,0.9273809523809524,1.0105555719799466,0.6666666666666666,0.6666666666666666,0.6447954301337759,0.36666666666666664,2.660764442522518e-05,15.89903129999584
16,0.42960251825196405,0.9380952380952381,0.8966805140177408,0.7222222222222222,0.7222222222222223,0.7200876913419286,0.28888888888888886,2.593042710491044e-05,15.929957599990303
17,0.38058630114509945,0.9523809523809523,0.9998533672756619,0.6055555555555555,0.6055555555555555,0.6145273426814408,0.40555555555555556,2.5202393792203446e-05,16.99507910000102
18,0.374385210445949,0.9630952380952381,0.9943788872824775,0.6222222222222222,0.6222222222222222,0.6308722933157899,0.38333333333333336,2.4427091392222046e-05,16.09875099999772
19,0.3617440183957418,0.9714285714285714,0.9433274878395929,0.6888888888888889,0.6888888888888888,0.68141384295001,0.3277777777777778,2.360829710032583e-05,15.993070399999851
20,0.35558926179295497,0.9702380952380952,1.0187880727979872,0.6722222222222223,0.6722222222222222,0.6561941251596424,0.35,2.275e-05,15.990143899995019
21,0.33781507469358896,0.9797619047619047,1.049257747332255,0.6611111111111111,0.6611111111111111,0.6450415484898243,0.37222222222222223,2.1856381628441622e-05,15.800826699996833
22,0.34147185229119803,0.9761904761904762,1.0576889038085937,0.6611111111111111,0.6611111111111111,0.6534905739242687,0.3611111111111111,2.0931795604530726e-05,15.837447500001872
23,0.34599287197703404,0.9702380952380952,1.0597187519073485,0.65,0.65,0.6507858206814988,0.37222222222222223,1.9980746418436738e-05,15.909436400004779
24,0.3222150456337702,0.9845238095238096,1.0293606970045301,0.6666666666666666,0.6666666666666666,0.6686499523872412,0.35,1.9007867486195178e-05,15.859802499995567
