epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_level_mae,learning_rate,epoch_seconds
1,1.1316732486089072,0.3464285714285714,1.1167163186603122,0.3388888888888889,0.33888888888888885,0.300567860994853,0.7611111111111111,2.8000000000000003e-06,104.95176469999933
2,1.0754873616354805,0.425,1.0847396082348293,0.35,0.35000000000000003,0.3191699604743083,0.7222222222222222,4.600000000000001e-06,13.485811300000933
3,1.047168231010437,0.4642857142857143,1.0312612851460774,0.43333333333333335,0.43333333333333335,0.42984042448271104,0.65,6.4000000000000006e-06,13.033950100001675
4,0.9705379202252342,0.530952380952381,0.9593484295739068,0.5388888888888889,0.5388888888888889,0.5291763791763793,0.5111111111111111,8.200000000000001e-06,12.850096599999233
5,0.8762332848140172,0.5904761904761905,0.9293288522296481,0.5222222222222223,0.5222222222222223,0.49861620279957214,0.5055555555555555,1e-05,12.943899599998986
6,0.8134303405171349,0.6416666666666667,0.8842305448320177,0.5722222222222222,0.5722222222222223,0.5672942345026862,0.4388888888888889,9.98903822616921e-06,12.884165200001007
7,0.7618765791257223,0.6928571428571428,0.869472493065728,0.5777777777777777,0.5777777777777778,0.5671802054154995,0.42777777777777776,9.956206309337067e-06,12.962970299999142
8,0.7151090281350272,0.736904761904762,0.8500968641704983,0.6055555555555555,0.6055555555555555,0.5827633351905196,0.40555555555555556,9.901664203302126e-06,12.931387600001472
9,0.6845296445347014,0.763095238095238,0.8259884675343832,0.6277777777777778,0.6277777777777778,0.5948408977828941,0.38333333333333336,9.825677631722436e-06,12.930775699998776
10,0.649125553880419,0.7988095238095239,0.8289349807633294,0.6166666666666667,0.6166666666666667,0.611673098776004,0.3888888888888889,9.728616793536588e-06,12.915314499998203
11,0.6482987551462083,0.7738095238095238,0.8143994410832723,0.6333333333333333,0.6333333333333333,0.6143012147408823,0.37222222222222223,9.610954559391704e-06,13.00185219999912
12,0.5986933878489903,0.8154761904761905,0.80009908941057,0.65,0.65,0.6361945357452418,0.35555555555555557,9.473264167865172e-06,12.979293000000325
13,0.5749062129429409,0.8428571428571429,0.8323218968179491,0.65,0.65,0.6473848588615085,0.35,9.316216432703918e-06,12.959781300000031
14,0.5565227588017782,0.8464285714285714,0.8181556993060641,0.65,0.65,0.6372200920095527,0.3611111111111111,9.140576474687263e-06,12.93895970000085
15,0.514696623030163,0.8666666666666667,0.8637997918658786,0.6444444444444445,0.6444444444444445,0.6051796955932743,0.3611111111111111,8.947199994035402e-06,12.78024809999988
16,0.5282157625470842,0.8726190476190476,0.8631263997819688,0.6111111111111112,0.6111111111111112,0.5981315440677576,0.40555555555555556,8.737029101523931e-06,12.842613200002233
17,0.4880295310701643,0.8952380952380953,0.8692919280793932,0.65,0.65,0.6317348934320912,0.3611111111111111,8.511087728614863e-06,12.890287800000806
18,0.4718474013464791,0.9083333333333333,0.8795650376213922,0.6222222222222222,0.6222222222222222,0.6048512419480162,0.3888888888888889,8.270476638965463e-06,13.145744500001456
19,0.4564385885284061,0.9214285714285714,0.9470601267284817,0.6333333333333333,0.6333333333333333,0.6103450849213561,0.39444444444444443,8.016368065618361e-06,13.044554900003277
20,0.4554727750165122,0.9166666666666666,0.9355934540430705,0.6222222222222222,0.6222222222222222,0.6102889712000367,0.38333333333333336,7.75e-06,27.74433610000051
21,0.4625984924180167,0.9214285714285714,0.8939961777793036,0.6444444444444445,0.6444444444444445,0.6222302916381864,0.3611111111111111,7.472670160550849e-06,29.303536900002655
