,precision,recall,f1-score,support
N0,0.782608695652174,0.9,0.8372093023255814,60.0
N75,0.6904761904761905,0.48333333333333334,0.5686274509803921,60.0
NFull,0.7246376811594203,0.8333333333333334,0.7751937984496124,60.0
accuracy,0.7388888888888889,0.7388888888888889,0.7388888888888889,0.7388888888888889
macro avg,0.7325741890959283,0.7388888888888889,0.7270101839185287,180.0
weighted avg,0.7325741890959282,0.7388888888888889,0.7270101839185287,180.0
