,precision,recall,f1-score,support
N0,0.7941176470588235,0.9,0.84375,60.0
N75,0.6538461538461539,0.5666666666666667,0.6071428571428571,60.0
NFull,0.8,0.8,0.8,60.0
accuracy,0.7555555555555555,0.7555555555555555,0.7555555555555555,0.7555555555555555
macro avg,0.7493212669683258,0.7555555555555555,0.7502976190476192,180.0
weighted avg,0.7493212669683258,0.7555555555555555,0.7502976190476189,180.0
