,precision,recall,f1-score,support
N0,0.7402597402597403,0.95,0.8321167883211679,60.0
N75,0.7105263157894737,0.45,0.5510204081632653,60.0
NFull,0.7538461538461538,0.8166666666666667,0.784,60.0
accuracy,0.7388888888888889,0.7388888888888889,0.7388888888888889,0.7388888888888889
macro avg,0.734877403298456,0.7388888888888889,0.7223790654948111,180.0
weighted avg,0.7348774032984559,0.7388888888888889,0.722379065494811,180.0
