epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_level_mae,learning_rate,epoch_seconds
1,1.1213920491082328,0.37023809523809526,1.1002078692118327,0.36666666666666664,0.3666666666666667,0.34862679241307926,0.75,6.800000000000001e-06,64.22275280000758
2,1.0551617571285792,0.4380952380952381,1.052322306897905,0.3888888888888889,0.3888888888888889,0.3608363159850574,0.6444444444444445,1.2600000000000001e-05,15.080709700006992
3,0.9625164327167329,0.5380952380952381,0.9076827234692044,0.5555555555555556,0.5555555555555556,0.5618448832588178,0.4666666666666667,1.84e-05,14.97554269999091
4,0.8373280871482123,0.6261904761904762,0.8284336275524563,0.6277777777777778,0.6277777777777778,0.6171954638124363,0.38333333333333336,2.4200000000000002e-05,15.370963000008487
5,0.8170440145901271,0.6285714285714286,0.8961808760960897,0.5444444444444444,0.5444444444444444,0.5407297741263587,0.45555555555555555,3e-05,15.415063399996143
6,0.7666740956760588,0.6726190476190477,0.8324891739421421,0.6222222222222222,0.6222222222222222,0.6093587273740496,0.38333333333333336,2.996467872876745e-05,15.158032399995136
7,0.6970823089281718,0.7392857142857143,0.8097435341940986,0.6555555555555556,0.6555555555555556,0.6402396286133664,0.35555555555555557,2.985888699675277e-05,14.802505400002701
8,0.6873571188676925,0.7559523809523809,0.8065516100989447,0.65,0.65,0.6510457803130029,0.35,2.9683140210640184e-05,14.901987399993232
9,0.652653728212629,0.7666666666666667,0.8377270989947849,0.6388888888888888,0.6388888888888888,0.6428009137030309,0.37222222222222223,2.9438294591105624e-05,16.18244579999009
10,0.584402170635405,0.8238095238095238,0.8534278684192234,0.6666666666666666,0.6666666666666666,0.655999094529686,0.35,2.912554300139567e-05,19.33335210000223
11,0.6281046242940993,0.7869047619047619,0.826437407069736,0.6611111111111111,0.6611111111111111,0.6362262848627478,0.3388888888888889,2.874640913581771e-05,24.906509599997662
12,0.5618533634004139,0.844047619047619,0.824793799718221,0.6666666666666666,0.6666666666666666,0.6703579908505507,0.3333333333333333,2.8302740096454442e-05,24.747805799997877
13,0.5157214528038389,0.8845238095238095,0.884602779812283,0.6111111111111112,0.6111111111111112,0.6223036223036224,0.3888888888888889,2.7796697394268175e-05,25.536818399996264
14,0.5015370476813543,0.8892857142857142,0.8238913165198432,0.6444444444444445,0.6444444444444445,0.642796339563863,0.3611111111111111,2.7230746418436738e-05,24.833475499995984
15,0.4914410119964963,0.8940476190476191,0.915068523089091,0.6111111111111112,0.611111111111111,0.5894823466109608,0.3888888888888889,2.660764442522518e-05,24.21173940000881
16,0.5044162483442397,0.8738095238095238,0.8481808344523112,0.6777777777777778,0.6777777777777777,0.6693654424017397,0.32222222222222224,2.593042710491044e-05,24.662972600010107
17,0.4469938931011018,0.9178571428571428,0.9366556485493978,0.6888888888888889,0.688888888888889,0.6737256643299384,0.32222222222222224,2.5202393792203446e-05,25.11402090000047
18,0.43630720121519906,0.9226190476190477,0.9638861629698011,0.6388888888888888,0.638888888888889,0.6110246208845067,0.36666666666666664,2.4427091392222046e-05,24.24453429999994
19,0.40794899066289264,0.9428571428571428,0.9159026410844591,0.6722222222222223,0.6722222222222222,0.675761514458476,0.3333333333333333,2.360829710032583e-05,24.14901789999567
20,0.4157634979202634,0.9404761904761905,0.8592752827538385,0.6888888888888889,0.688888888888889,0.6886604303664597,0.3111111111111111,2.275e-05,23.878625599987572
21,0.41217809802009947,0.9357142857142857,0.9094731860690647,0.6722222222222223,0.6722222222222222,0.6697435897435898,0.3333333333333333,2.1856381628441622e-05,21.722996099997545
22,0.3817146443185352,0.9571428571428572,0.8833809587690565,0.6611111111111111,0.6611111111111111,0.6621586725908634,0.34444444444444444,2.0931795604530726e-05,15.467263600003207
23,0.4053657054901123,0.944047619047619,0.9668530835045709,0.6722222222222223,0.6722222222222222,0.6341698137303194,0.3333333333333333,1.9980746418436738e-05,16.008102699997835
24,0.35942383891060237,0.969047619047619,1.0654337935977511,0.6277777777777778,0.6277777777777778,0.6369488536155202,0.37222222222222223,1.9007867486195178e-05,16.001450300012948
25,0.35120764885629924,0.9714285714285714,0.9716478268305461,0.7,0.7000000000000001,0.6789160108487838,0.3,1.8017898576170493e-05,16.178090700006578
26,0.3696646630764008,0.9607142857142857,0.908601795302497,0.7,0.7000000000000001,0.6942997053054318,0.3,1.7015662717380978e-05,16.38199359999271
27,0.3557792808328356,0.9654761904761905,0.8884883297814263,0.6944444444444444,0.6944444444444445,0.6973624993963977,0.3055555555555556,1.6006042702186265e-05,16.047104299999774
