epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_level_mae,learning_rate,epoch_seconds
1,1.1700653314590455,0.3333333333333333,1.1639607270558676,0.3,0.3,0.15789473684210525,0.7333333333333333,6.800000000000001e-06,38.818334399999
2,1.1440096139907836,0.3,1.0699604352315266,0.3,0.3,0.19682539682539682,0.7666666666666667,1.2600000000000001e-05,3.7829639999981737
3,1.0550254742304483,0.36666666666666664,0.9603716214497884,0.6,0.6,0.5980861244019139,0.5,1.84e-05,3.6183512000025075
4,0.9564979434013366,0.5666666666666667,0.8553819417953491,0.7333333333333333,0.7333333333333334,0.7132034632034632,0.3333333333333333,2.4200000000000002e-05,3.636112399999547
5,0.8311160008112589,0.7,0.7347813407580058,0.9,0.9,0.8950004244121891,0.1,3e-05,3.740943000000698
6,0.6972455382347107,0.8666666666666667,0.6041237870852153,0.9,0.9,0.8950004244121891,0.1,2.9976352006928965e-05,3.242242599997553
7,0.6152615110079448,0.8666666666666667,0.49360948204994204,1.0,1.0,1.0,0.0,2.9905485162553977e-05,3.29602739999973
8,0.48669407367706297,1.0,0.4079977790514628,1.0,1.0,1.0,0.0,2.978763061979155e-05,3.2046273999985715
9,0.38800349632898967,1.0,0.34709418217341104,1.0,1.0,1.0,0.0,2.9623172795663836e-05,3.2238897000024735
10,0.34343845446904503,1.0,0.31226237217585245,1.0,1.0,1.0,0.0,2.9412648117410217e-05,3.230359599998337
11,0.30889309843381246,1.0,0.2974499543507894,1.0,1.0,1.0,0.0,2.915674327277311e-05,3.5177733000018634
12,0.3013897160689036,1.0,0.2948943535486857,1.0,1.0,1.0,0.0,2.885629297016533e-05,1.8574379999990924
13,0.29747409621874493,1.0,0.2968605081240336,1.0,1.0,1.0,0.0,2.8512277216024696e-05,1.6509697000001324
14,0.30019423564275105,1.0,0.29725548227628074,1.0,1.0,1.0,0.0,2.812581811823677e-05,1.5778269000002183
15,0.30020623207092284,1.0,0.2959021111329397,1.0,1.0,1.0,0.0,2.7698176226052127e-05,1.7592540000005101
16,0.29656155308087667,1.0,0.29455228249231974,1.0,1.0,1.0,0.0,2.7230746418436738e-05,1.6498078999975405
17,0.2984318216641744,1.0,0.2939729849497477,1.0,1.0,1.0,0.0,2.67250533542667e-05,1.6684219999988272
18,0.2990368704001109,1.0,0.2932642936706543,1.0,1.0,1.0,0.0,2.618274649920787e-05,1.8284218000007968
19,0.29475382566452024,1.0,0.29376832048098245,1.0,1.0,1.0,0.0,2.5605594745501755e-05,1.7902681999985361
20,0.29640096028645835,1.0,0.29372234344482423,1.0,1.0,1.0,0.0,2.499548064220664e-05,1.7960931999987224
21,0.29546048641204836,1.0,0.2928354183832804,1.0,1.0,1.0,0.0,2.4354394254713855e-05,1.805395800001861
22,0.2958721280097961,1.0,0.2924641887346903,1.0,1.0,1.0,0.0,2.3684426673568156e-05,1.7439778999978444
23,0.2939312219619751,1.0,0.29293227990468346,1.0,1.0,1.0,0.0,2.298776319376495e-05,1.7965879000003042
24,0.29597657918930054,1.0,0.2927610913912455,1.0,1.0,1.0,0.0,2.226667618677227e-05,1.7079779000014241
25,0.2976302127043406,1.0,0.2921491185824076,1.0,1.0,1.0,0.0,2.1523517688527355e-05,1.757589900000312
26,0.29518745342890423,1.0,0.29203641017278037,1.0,1.0,1.0,0.0,2.0760711727584293e-05,1.7112390000002051
27,0.294973224401474,1.0,0.2922737737496694,1.0,1.0,1.0,0.0,1.9980746418436738e-05,1.8121960000025865
28,0.29394071698188784,1.0,0.29241089622179667,1.0,1.0,1.0,0.0,1.9186165845805563e-05,1.825524800002313
29,0.29458226760228473,1.0,0.29246488014856975,1.0,1.0,1.0,0.0,1.8379561766363307e-05,1.700448100000358
30,0.2959051012992859,1.0,0.2922459642092387,1.0,1.0,1.0,0.0,1.7563565154962638e-05,1.7212870999974257
31,0.2943977991739909,1.0,0.2920271813869476,1.0,1.0,1.0,0.0,1.6740837622943176e-05,1.865316499999608
32,0.29423001607259114,1.0,0.29201971292495726,1.0,1.0,1.0,0.0,1.5914062736508595e-05,1.8311824999982491
33,0.29372261961301166,1.0,0.2921645720799764,1.0,1.0,1.0,0.0,1.5085937263491406e-05,1.8183124999995925
34,0.2941432197888692,1.0,0.2922907213370005,1.0,1.0,1.0,0.0,1.4259162377056828e-05,1.731722799999261
35,0.2944908380508423,1.0,0.2924148241678874,1.0,1.0,1.0,0.0,1.3436434845037367e-05,1.9564949999985402
36,0.2944169243176778,1.0,0.2923704783121745,1.0,1.0,1.0,0.0,1.2620438233636696e-05,1.7115138999979536
37,0.294543727238973,1.0,0.29238514105478924,1.0,1.0,1.0,0.0,1.1813834154194443e-05,1.8415297999999893
38,0.2944557030995687,1.0,0.29227622747421267,1.0,1.0,1.0,0.0,1.1019253581563263e-05,1.640997000002244
39,0.2940585732460022,1.0,0.29209230144818626,1.0,1.0,1.0,0.0,1.0239288272415707e-05,1.6533724000000802
40,0.2940947969754537,1.0,0.2918842335542043,1.0,1.0,1.0,0.0,9.476482311472648e-06,1.7297481999994488
41,0.29615180293718973,1.0,0.2917549709479014,1.0,1.0,1.0,0.0,8.733323813227731e-06,1.6586482999991858
42,0.2941242218017578,1.0,0.2917138715585073,1.0,1.0,1.0,0.0,8.012236806235053e-06,1.5758171999987098
43,0.2944162368774414,1.0,0.2917229652404785,1.0,1.0,1.0,0.0,7.31557332643185e-06,1.6976914000006218
44,0.29393855333328245,1.0,0.2916512151559194,1.0,1.0,1.0,0.0,6.645605745286146e-06,1.7983612999996694
45,0.2934456368287404,1.0,0.29157646695772804,1.0,1.0,1.0,0.0,6.004519357793367e-06,1.6941872999996122
46,0.2947831432024638,1.0,0.2915448804696401,1.0,1.0,1.0,0.0,5.394405254498246e-06,1.5860424999991665
47,0.295550407965978,1.0,0.2915230413277944,1.0,1.0,1.0,0.0,4.817253500792127e-06,1.8408974000012677
48,0.2935359756151835,1.0,0.2915348410606384,1.0,1.0,1.0,0.0,4.274946645733304e-06,1.7916464000009
49,0.2942046602567037,1.0,0.29153361916542053,1.0,1.0,1.0,0.0,3.769253581563264e-06,1.8300874999986263
50,0.2941516141096751,1.0,0.2915048638979594,1.0,1.0,1.0,0.0,3.301823773947871e-06,1.76411719999669
51,0.2931058923403422,1.0,0.29148858189582827,1.0,1.0,1.0,0.0,2.8741818817632328e-06,1.8830771000029927
52,0.29405761559804283,1.0,0.29147867957750956,1.0,1.0,1.0,0.0,2.487722783975306e-06,1.724733600000036
53,0.29361018737157185,1.0,0.2914666255315145,1.0,1.0,1.0,0.0,2.143707029834675e-06,1.729064200000721
54,0.2935013850529989,1.0,0.2914351602395376,1.0,1.0,1.0,0.0,1.843256727226893e-06,1.703283899998496
55,0.2938642164071401,1.0,0.2914255241552989,1.0,1.0,1.0,0.0,1.5873518825897899e-06,1.6546200000011595
56,0.2943510095278422,1.0,0.2914016624291738,1.0,1.0,1.0,0.0,1.3768272043361648e-06,1.681272900001204
57,0.2940247933069865,1.0,0.29137736558914185,1.0,1.0,1.0,0.0,1.2123693802084518e-06,1.8228129000017361
58,0.2939857443173726,1.0,0.29136083126068113,1.0,1.0,1.0,0.0,1.094514837446022e-06,1.815907200001675
59,0.2931115766366323,1.0,0.2913461764653524,1.0,1.0,1.0,0.0,1.0236479930710332e-06,1.794075800000428
60,0.2942487438519796,1.0,0.29134876529375714,1.0,1.0,1.0,0.0,1e-06,1.7384888999986288
